navn,90s,gule kort,hold
Hugo Andersson,3.9,3,Randers
Mathias Greve,2.7,1,Randers
Vincent Onovo,2.7,0,Randers
Jesper Lauridsen,3.7,2,Randers
Mads Enggaard,1.5,0,Randers
Mattias Andersson,1.0,0,Randers
Filip Bundgaard,2.1,2,Randers
Joel Kabongo,0.1,0,Randers
Alexander Simmelhack,0.1,0,Randers
Tobias Salquist,27.9,2,Silkeborg
Mark Brink,26.5,0,Silkeborg
Nicolai Larsen,27.0,1,Silkeborg
Nicolai Vallys,27.0,3,Silkeborg
Rasmus Carstensen,26.8,3,Silkeborg
Nicklas Helenius,24.0,1,Silkeborg
Sebastian Jørgensen,23.7,1,Silkeborg
Anders Klynge,18.2,0,Silkeborg
André Calisir,15.2,6,Silkeborg
Stefán Þórðarson,15.0,3,Silkeborg
Robert Gojani,13.7,1,Silkeborg
Lukas Engel,10.4,1,Silkeborg
Joel Felix,11.8,1,Silkeborg
Gustav Dahl,9.9,2,Silkeborg
Andreas Oggesen,7.8,0,Silkeborg
Oliver Sonne,7.3,1,Silkeborg
Mads Kaalund,4.3,2,Silkeborg
Alexander Lind Rasmussen,2.6,0,Silkeborg
Nicklas Røjkjær,2.3,0,Silkeborg
Alexander Busch,1.1,0,Silkeborg
Aske Andresen,1.0,0,Silkeborg
Søren Tengstedt,2.1,0,Silkeborg
Pelle Mattsson,1.4,0,Silkeborg
Wessam Haissam Abou Ali,0.6,0,Silkeborg
Frederik Carstensen,0.3,0,Silkeborg
Gustav Marcussen,0.3,0,Silkeborg
Stefan Gartenmann,28.0,3,SonderjyskE
Marc Dal Hende,26.1,3,SonderjyskE
Emil Holm,23.7,8,SonderjyskE
Lawrence Thomas,24.0,0,SonderjyskE
Mads Albæk,23.8,6,SonderjyskE
Duplexe Tchamba,20.0,2,SonderjyskE
Victor Mpindi,14.6,4,SonderjyskE
Emil Kornvig,13.0,4,SonderjyskE
Emil Frederiksen,11.5,0,SonderjyskE
Rilwan Olanrewaju Hassan,11.3,3,SonderjyskE
Abdulrahman Taiwo,10.1,3,SonderjyskE
Rasmus Vinderslev,11.2,0,SonderjyskE
Jeppe Simonsen,8.9,2,SonderjyskE
Peter Christiansen,7.6,2,SonderjyskE
Nicolaj Thomsen,7.2,2,SonderjyskE
Maxime Soulas,7.1,2,SonderjyskE
Kristófer Kristinsson,7.4,1,SonderjyskE
Dániel Prosser,6.1,0,SonderjyskE
Julius Eskesen,6.5,0,SonderjyskE
Søren Reese,5.6,1,SonderjyskE
Anders K. Jacobsen,4.8,1,SonderjyskE
Isak Jensen,5.3,1,SonderjyskE
Emil Berggreen,4.0,2,SonderjyskE
Nicolai Flø,4.0,0,SonderjyskE
Atli Barkarson,3.2,1,SonderjyskE
Jose Gallegos,3.4,0,SonderjyskE
Bubacarr Sanneh,3.1,0,SonderjyskE
Faris Moumbagna,3.6,2,SonderjyskE
Pierre Kanstrup,1.3,0,SonderjyskE
Robin Schouten,0.6,0,SonderjyskE
Mads Hansen,0.3,0,SonderjyskE
Philipp Schmiedl,0.2,0,SonderjyskE
Bård Finne,0.0,0,SonderjyskE
Denis Kolinger,24.4,9,Vejle-BK
Allan Sousa,24.0,7,Vejle-BK
Arbnor Mucolli,21.3,6,Vejle-BK
Tobias Mølgaard,17.8,3,Vejle-BK
Alexander Brunst,18.0,0,Vejle-BK
Mouhamadou Drammeh,14.8,3,Vejle-BK
Jerome Opoku,14.1,5,Vejle-BK
Andrés Ponce,11.8,1,Vejle-BK
Manjrekar James,11.6,4,Vejle-BK
Saeid Ezatolahi,10.0,5,Vejle-BK
Sten Grytebust,10.0,0,Vejle-BK
Heron,9.9,1,Vejle-BK
Viljormur Davidsen,9.6,1,Vejle-BK
Lukas Engel,9.6,1,Vejle-BK
Raúl Albentosa,9.4,4,Vejle-BK
Jacob Schoop,8.0,1,Vejle-BK
Luka Đorđević,7.9,1,Vejle-BK
Ebenezer Ofori,7.4,1,Vejle-BK
Dimitrios Emmanouilidis,8.1,1,Vejle-BK
Wahidullah Faghir,7.0,2,Vejle-BK
Lundrim Hetemi,8.9,2,Vejle-BK
Hans Høllsberg,7.2,1,Vejle-BK
Miiko Albornoz,7.0,4,Vejle-BK
Hallur Hansson,6.0,3,Vejle-BK
Edgar Babayan,5.9,2,Vejle-BK
Arthur Yamga,5.6,1,Vejle-BK
Kevin Custovic,3.4,0,Vejle-BK
Thomas Gundelund,3.4,1,Vejle-BK
Mads Greve,1.9,0,Vejle-BK
Oliver Nielsen,1.5,0,Vejle-BK
Lucas Jensen,1.2,0,Vejle-BK
Brandon Pierrick,0.4,0,Vejle-BK
Ali Adnan Kadhim,0.4,0,Vejle-BK
Foday Manneh,0.1,0,Vejle-BK
Valdemar Sadrifar,0.1,0,Vejle-BK
Dominic,0.1,0,Vejle-BK
Christian Gammelgaard,0.0,0,Vejle-BK
Alexander Juel Andersen,29.6,3,Vendsyssel
Sander Fischer,26.9,5,Vendsyssel
Nicolai Flø,26.0,1,Vendsyssel
Andreas Kaltoft,24.5,2,Vendsyssel
Søren Henriksen,23.5,2,Vendsyssel
Morten Knudsen,20.4,3,Vendsyssel
Moses Opondo,19.2,1,Vendsyssel
Mikkel Wohlgemuth,22.1,2,Vendsyssel
Jón Dagur Þorsteinsson,18.8,8,Vendsyssel
Lucas Jensen,16.2,4,Vendsyssel
Tiémoko Konaté,11.8,3,Vendsyssel
Brandão,12.0,1,Vendsyssel
Daniel Christensen,10.9,3,Vendsyssel
Ogude Ifeanyi,10.4,1,Vendsyssel
Mikkel Frankoch,8.4,3,Vendsyssel
Francisco Júnior,7.4,4,Vendsyssel
Sebastian Czajkowski,7.8,0,Vendsyssel
Ville Matti Steinmann,6.8,2,Vendsyssel
Jakob Hjorth,6.3,3,Vendsyssel
Jeppe Svenningsen,6.0,1,Vendsyssel
Michael Tørnes,6.0,0,Vendsyssel
Alhaji Kamara,5.5,3,Vendsyssel
Benjamin Källman,5.5,0,Vendsyssel
Seyi Adekoya,5.3,0,Vendsyssel
Ninos Gouriye,2.3,0,Vendsyssel
Miro Slavov,2.8,0,Vendsyssel
Mads Roerslev,2.5,0,Vendsyssel
Benjamin Lund,1.9,0,Vendsyssel
Mads Mikkelsen,1.6,0,Vendsyssel
Dylan McGowan,1.0,1,Vendsyssel
Jeppe Illum,0.8,0,Vendsyssel
Marcus Solberg,0.5,0,Vendsyssel
Christian Sørensen,28.0,3,Viborg
Jakob Bonde,24.0,6,Viborg
Mads Lauritsen,23.1,7,Viborg
Justin Lonwijk,22.0,6,Viborg
Tobias Bech,19.5,6,Viborg
Lucas Lund Pedersen,22.0,2,Viborg
Jeppe Grønning,21.2,6,Viborg
Younes Bakiz,18.8,3,Viborg
Lars Kramer,19.3,5,Viborg
Jay-Roy Grot,14.6,2,Viborg
Frans Dhia Putros,16.4,6,Viborg
Sebastian Grønning,15.7,3,Viborg
Daniel Anyembe,11.5,1,Viborg
Nicolas Bürgy,10.0,2,Viborg
Clint Leemans,9.8,2,Viborg
Mikkel Andersen,6.0,0,Viborg
Alassana Jatta,5.7,0,Viborg
Ibrahim Said,5.1,2,Viborg
Sofus Berger Brix,4.1,1,Viborg
Lorenzo Gordinho,2.9,2,Viborg
Jan Žambůrek,2.6,1,Viborg
Jeff Mensah,2.1,1,Viborg
Mads Aaquist,1.1,0,Viborg
Marokhy Ndione,0.6,0,Viborg
Kellian van der Kaap,0.4,0,Viborg
Mads Søndergaard,0.4,0,Viborg
Martin Huldahl,0.1,0,Viborg
Anton Gaaei,0.0,0,Viborg
Frederik Christensen,0.0,0,Viborg
Christina Ravn,12.0,0,VSK-Aarhus
Janni Thomsen,11.9,0,VSK-Aarhus
Maria Nielsen,11.7,2,VSK-Aarhus
Sofie Laursen,11.3,1,VSK-Aarhus
Emma Andersen,10.7,0,VSK-Aarhus
Katrine Svane,10.0,1,VSK-Aarhus
Olivia Holdt,9.7,0,VSK-Aarhus
Mathilde Madsen,9.7,0,VSK-Aarhus
Cecilie Winther Johansen,8.9,0,VSK-Aarhus
Christina Beck,7.5,1,VSK-Aarhus
Emilie Rhode,6.8,1,VSK-Aarhus
Sofie Jørgensen,5.6,0,VSK-Aarhus
Sofie Obel,5.0,0,VSK-Aarhus
Kathrine Spanner,4.0,1,VSK-Aarhus
Katrine Kleven,2.0,1,VSK-Aarhus
Simone Hagelskjær,1.9,0,VSK-Aarhus
Mathilde Horup,1.6,0,VSK-Aarhus
Stine Bloch,1.0,0,VSK-Aarhus
Malou Thyrrestrup,0.3,0,VSK-Aarhus
Emilie Kristensen,0.2,0,VSK-Aarhus
Helena Pedersen,0.2,0,VSK-Aarhus
Hannah Bacon,0.1,0,VSK-Aarhus
Freja Jensen,0.1,0,VSK-Aarhus
Christina Fensbæk,0.0,0,VSK-Aarhus
