Frekvens	Kanal A	Kanal B
(ms)	(V)	(V)

0.00000000	2.83972100	4.84621000
0.13333600	2.79604500	4.84621000
0.26667200	2.79604500	4.84621000
0.40000799	2.79604500	4.75947300
0.53334399	2.79604500	4.75947300
0.66667999	2.79604500	4.75947300
0.80001599	2.79604500	4.67304400
0.93335198	2.75236800	4.67304400
1.06668798	2.75236800	4.67304400
1.20002398	2.75236800	4.58661400
1.33335998	2.75236800	4.67304400
1.46669598	2.79604500	4.58661400
1.60003197	2.79604500	4.58661400
1.73336797	2.79604500	4.49987700
1.86670397	2.79604500	4.49987700
2.00003997	2.79604500	4.41344700
2.13337597	2.79604500	4.41344700
2.26671196	2.79604500	4.41344700
2.40004796	2.79604500	4.41344700
2.53338396	2.83972100	4.41344700
2.66671996	2.88339700	4.32671000
2.80005595	2.88339700	4.32671000
2.93339195	2.92707300	4.32671000
3.06672795	2.97074900	4.24028100
3.20006395	2.97074900	4.24028100
3.33339995	3.01442600	4.15385100
3.46673594	3.05825500	4.15385100
3.60007194	3.05825500	4.15385100
3.73340794	3.10193200	4.06711400
3.86674394	3.10193200	4.06711400
4.00007993	3.14560800	4.06711400
4.13341593	3.14560800	4.06711400
4.26675193	3.23296000	4.06711400
4.40008793	3.27663600	3.98068400
4.53342393	3.27663600	3.98068400
4.66675992	3.32031300	3.89425400
4.80009592	3.36398900	3.89425400
4.93343192	3.40766500	3.89425400
5.06676792	3.45134100	3.80751700
5.20010391	3.49501700	3.80751700
5.33343991	3.53869300	3.80751700
5.46677591	3.53869300	3.80751700
5.60011191	3.58252300	3.72108800
5.73344791	3.58252300	3.72108800
5.86678390	3.62619900	3.63465800
6.00011990	3.62619900	3.63465800
6.13345590	3.66987600	3.63465800
6.26679190	3.66987600	3.63465800
6.40012790	3.66987600	3.54792100
6.53346389	3.71355200	3.54792100
6.66679989	3.71355200	3.54792100
6.80013589	3.75722800	3.46149100
6.93347189	3.71355200	3.46149100
7.06680788	3.71355200	3.46149100
7.20014388	3.71355200	3.37506200
7.33347988	3.71355200	3.37506200
7.46681588	3.71355200	3.37506200
7.60015188	3.66987600	3.28832400
7.73348787	3.66987600	3.28832400
7.86682387	3.66987600	3.28832400
8.00015987	3.62619900	3.20189500
8.13349587	3.62619900	3.20189500
8.26683186	3.58252300	3.20189500
8.40016786	3.58252300	3.20189500
8.53350386	3.58252300	3.20189500
8.66683986	3.49501700	3.11515700
8.80017586	3.45134100	3.11515700
8.93351185	3.45134100	3.11515700
9.06684785	3.36398900	3.02872800
9.20018385	3.36398900	3.02872800
9.33351985	3.32031300	3.02872800
9.46685584	3.27663600	2.94229800
9.60019184	3.23296000	2.94229800
9.73352784	3.18928400	2.94229800
9.86686384	3.14560800	2.85556100
10.00019984	3.14560800	2.85556100
10.13353583	3.10193200	2.85556100
10.26687183	3.01442600	2.85556100
10.40020783	3.01442600	2.76913100
10.53354383	2.97074900	2.76913100
10.66687983	2.97074900	2.76913100
10.80021582	2.97074900	2.68270200
10.93355182	2.92707300	2.68270200
11.06688782	2.88339700	2.68270200
11.20022382	2.88339700	2.59596500
11.33355981	2.83972100	2.59596500
11.46689581	2.83972100	2.59596500
11.60023181	2.83972100	2.50953500
11.73356781	2.83972100	2.50953500
11.86690381	2.83972100	2.50953500
12.00023980	2.83972100	2.42310500
12.13357580	2.83972100	2.42310500
12.26691180	2.83972100	2.42310500
12.40024780	2.88339700	2.42310500
12.53358379	2.88339700	2.33636800
12.66691979	2.88339700	2.33636800
12.80025579	2.92707300	2.33636800
12.93359179	2.92707300	2.24993800
13.06692779	2.92707300	2.24993800
13.20026378	2.97074900	2.24993800
13.33359978	3.01442600	2.24993800
13.46693578	3.05825500	2.16320100
13.60027178	3.10193200	2.16320100
13.73360778	3.14560800	2.16320100
13.86694377	3.18928400	2.07677200
14.00027977	3.27663600	2.07677200
14.13361577	3.32031300	2.07677200
14.26695177	3.36398900	1.99034200
14.40028776	3.40766500	1.99034200
14.53362376	3.40766500	1.99034200
14.66695976	3.45134100	1.90360500
14.80029576	3.49501700	1.90360500
14.93363176	3.53869300	1.90360500
15.06696775	3.53869300	1.81717500
15.20030375	3.58252300	1.81717500
15.33363975	3.62619900	1.81717500
15.46697575	3.66987600	1.81717500
15.60031174	3.71355200	1.73074600
15.73364774	3.71355200	1.73074600
15.86698374	3.71355200	1.64400800
16.00031974	3.71355200	1.64400800
16.13365574	3.71355200	1.64400800
16.26699173	3.75722800	1.64400800
16.40032773	3.75722800	1.55757900
16.53366373	3.75722800	1.55757900
16.66699973	3.71355200	1.55757900
