Frekvens	Kanal A	Kanal B
(ms)	(V)	(V)

0.00000000	2.62134000	0.08642963
0.13333600	2.62134000	0.08642963
0.26667200	2.70869200	0.17285930
0.40000799	2.75236800	0.17285930
0.53334399	2.79604500	0.17285930
0.66667999	2.79604500	0.17285930
0.80001599	2.79604500	0.25959650
0.93335198	2.79604500	0.25959650
1.06668798	2.79604500	0.34602610
1.20002398	2.79604500	0.34602610
1.33335998	2.75236800	0.34602610
1.46669598	2.70869200	0.34602610
1.60003197	2.70869200	0.43245570
1.73336797	2.66501600	0.43245570
1.86670397	2.62134000	0.43245570
2.00003997	2.57766400	0.43245570
2.13337597	2.57766400	0.51919290
2.26671196	2.53383400	0.51919290
2.40004796	2.49015700	0.51919290
2.53338396	2.44648100	0.60562250
2.66671996	2.40280500	0.60562250
2.80005595	2.31545300	0.60562250
2.93339195	2.27177700	0.69205220
3.06672795	2.22810000	0.69205220
3.20006395	2.14074800	0.69205220
3.33339995	2.09707200	0.77878930
3.46673594	2.00956600	0.77878930
3.60007194	1.92221300	0.77878930
3.73340794	1.87853700	0.86521900
3.86674394	1.83486100	0.86521900
4.00007993	1.74750900	0.86521900
4.13341593	1.70383200	0.86521900
4.26675193	1.66015600	0.95164860
4.40008793	1.57280400	0.95164860
4.53342393	1.48529800	0.95164860
4.66675992	1.44162200	1.03838600
4.80009592	1.39794500	1.03838600
4.93343192	1.35426900	1.03838600
5.06676792	1.31059300	1.03838600
5.20010391	1.31059300	1.12481500
5.33343991	1.26691700	1.12481500
5.46677591	1.22324100	1.12481500
5.60011191	1.22324100	1.21155300
5.73344791	1.17956400	1.21155300
5.86678390	1.17956400	1.21155300
6.00011990	1.17956400	1.29798200
6.13345590	1.17956400	1.29798200
6.26679190	1.22324100	1.29798200
6.40012790	1.17956400	1.38441200
6.53346389	1.22324100	1.38441200
6.66679989	1.26691700	1.38441200
6.80013589	1.26691700	1.47114900
6.93347189	1.31059300	1.47114900
7.06680788	1.31059300	1.47114900
7.20014388	1.35426900	1.47114900
7.33347988	1.39794500	1.55757900
7.46681588	1.39794500	1.55757900
7.60015188	1.48529800	1.55757900
7.73348787	1.48529800	1.64400800
7.86682387	1.52912800	1.64400800
8.00015987	1.57280400	1.64400800
8.13349587	1.66015600	1.73074600
8.26683186	1.66015600	1.73074600
8.40016786	1.74750900	1.73074600
8.53350386	1.83486100	1.81717500
8.66683986	1.87853700	1.81717500
8.80017586	1.96588900	1.81717500
8.93351185	2.05339600	1.81717500
9.06684785	2.09707200	1.90360500
9.20018385	2.18442400	1.90360500
9.33351985	2.27177700	1.90360500
9.46685584	2.35912900	1.99034200
9.60019184	2.40280500	1.99034200
9.73352784	2.49015700	2.07677200
9.86686384	2.53383400	2.07677200
10.00019984	2.62134000	2.07677200
10.13353583	2.66501600	2.07677200
10.26687183	2.70869200	2.07677200
10.40020783	2.75236800	2.16320100
10.53354383	2.83972100	2.16320100
10.66687983	2.79604500	2.24993800
10.80021582	2.88339700	2.24993800
10.93355182	2.92707300	2.24993800
11.06688782	2.97074900	2.33636800
11.20022382	2.92707300	2.33636800
11.33355981	2.97074900	2.33636800
11.46689581	2.92707300	2.42310500
11.60023181	2.92707300	2.42310500
11.73356781	2.88339700	2.42310500
11.86690381	2.88339700	2.42310500
12.00023980	2.88339700	2.50953500
12.13357580	2.83972100	2.50953500
12.26691180	2.79604500	2.59596500
12.40024780	2.70869200	2.59596500
12.53358379	2.70869200	2.59596500
12.66691979	2.66501600	2.59596500
12.80025579	2.57766400	2.68270200
12.93359179	2.49015700	2.68270200
13.06692779	2.40280500	2.68270200
13.20026378	2.31545300	2.76913100
13.33359978	2.27177700	2.76913100
13.46693578	2.22810000	2.76913100
13.60027178	2.14074800	2.85556100
13.73360778	2.09707200	2.85556100
13.86694377	2.00956600	2.85556100
14.00027977	1.92221300	2.85556100
14.13361577	1.87853700	2.94229800
14.26695177	1.83486100	2.94229800
14.40028776	1.74750900	3.02872800
14.53362376	1.66015600	3.02872800
14.66695976	1.61648000	3.02872800
14.80029576	1.52912800	3.02872800
14.93363176	1.48529800	3.02872800
15.06696775	1.48529800	3.11515700
15.20030375	1.39794500	3.11515700
15.33363975	1.35426900	3.11515700
15.46697575	1.31059300	3.20189500
15.60031174	1.26691700	3.20189500
15.73364774	1.22324100	3.20189500
15.86698374	1.22324100	3.20189500
16.00031974	1.17956400	3.28832400
16.13365574	1.17956400	3.37506200
16.26699173	1.13588800	3.37506200
16.40032773	1.13588800	3.37506200
16.53366373	1.17956400	3.37506200
16.66699973	1.17956400	3.46149100
