Frekvens	Kanal A	Kanal B
(ms)	(V)	(V)

0.00000000	3.18928400	3.28832400
0.13333600	3.10193200	3.28832400
0.26667200	3.05825500	3.37506200
0.40000799	2.97074900	3.37506200
0.53334399	2.88339700	3.37506200
0.66667999	2.79604500	3.46149100
0.80001599	2.79604500	3.46149100
0.93335198	2.70869200	3.46149100
1.06668798	2.70869200	3.54792100
1.20002398	2.66501600	3.54792100
1.33335998	2.62134000	3.54792100
1.46669598	2.62134000	3.54792100
1.60003197	2.57766400	3.63465800
1.73336797	2.57766400	3.63465800
1.86670397	2.57766400	3.72108800
2.00003997	2.62134000	3.72108800
2.13337597	2.62134000	3.72108800
2.26671196	2.62134000	3.72108800
2.40004796	2.62134000	3.80751700
2.53338396	2.70869200	3.80751700
2.66671996	2.70869200	3.80751700
2.80005595	2.75236800	3.89425400
2.93339195	2.79604500	3.89425400
3.06672795	2.88339700	3.89425400
3.20006395	2.92707300	3.89425400
3.33339995	3.01442600	3.98068400
3.46673594	3.10193200	3.98068400
3.60007194	3.18928400	3.98068400
3.73340794	3.23296000	4.06711400
3.86674394	3.27663600	4.06711400
4.00007993	3.36398900	4.06711400
4.13341593	3.45134100	4.15385100
4.26675193	3.53869300	4.15385100
4.40008793	3.62619900	4.15385100
4.53342393	3.71355200	4.24028100
4.66675992	3.75722800	4.24028100
4.80009592	3.80090400	4.24028100
4.93343192	3.88825700	4.24028100
5.06676792	3.97560900	4.32671000
5.20010391	4.01928500	4.32671000
5.33343991	4.10679100	4.32671000
5.46677591	4.15046700	4.41344700
5.60011191	4.19414400	4.41344700
5.73344791	4.23782000	4.41344700
5.86678390	4.23782000	4.49987700
6.00011990	4.28149600	4.49987700
6.13345590	4.32517200	4.49987700
6.26679190	4.28149600	4.58661400
6.40012790	4.28149600	4.58661400
6.53346389	4.23782000	4.58661400
6.66679989	4.28149600	4.67304400
6.80013589	4.19414400	4.67304400
6.93347189	4.23782000	4.67304400
7.06680788	4.15046700	4.67304400
7.20014388	4.10679100	4.67304400
7.33347988	4.06296200	4.75947300
7.46681588	4.01928500	4.75947300
7.60015188	3.97560900	4.75947300
7.73348787	3.88825700	4.84621000
7.86682387	3.84458000	4.84621000
8.00015987	3.80090400	4.84621000
8.13349587	3.75722800	4.93264000
8.26683186	3.62619900	4.93264000
8.40016786	3.58252300	4.93264000
8.53350386	3.49501700	5.01907000
8.66683986	3.40766500	5.01907000
8.80017586	3.36398900	5.01907000
8.93351185	3.32031300	5.10580700
9.06684785	3.23296000	5.10580700
9.20018385	3.14560800	5.10580700
9.33351985	3.10193200	5.19223700
9.46685584	3.05825500	5.19223700
9.60019184	2.97074900	5.19223700
9.73352784	2.92707300	5.19223700
9.86686384	2.83972100	5.27866600
10.00019984	2.79604500	5.27866600
10.13353583	2.75236800	5.27866600
10.26687183	2.70869200	5.36540400
10.40020783	2.66501600	5.36540400
10.53354383	2.62134000	5.36540400
10.66687983	2.57766400	5.45183300
10.80021582	2.53383400	5.45183300
10.93355182	2.53383400	5.53857000
11.06688782	2.53383400	5.45183300
11.20022382	2.53383400	5.53857000
11.33355981	2.53383400	5.53857000
11.46689581	2.53383400	5.53857000
11.60023181	2.53383400	5.53857000
11.73356781	2.53383400	5.62500000
11.86690381	2.53383400	5.62500000
12.00023980	2.62134000	5.71143000
12.13357580	2.62134000	5.71143000
12.26691180	2.66501600	5.71143000
12.40024780	2.70869200	5.79816700
12.53358379	2.75236800	5.79816700
12.66691979	2.79604500	5.79816700
12.80025579	2.79604500	5.88459600
12.93359179	2.83972100	5.88459600
13.06692779	2.92707300	5.88459600
13.20026378	2.97074900	5.88459600
13.33359978	3.01442600	5.97102600
13.46693578	3.05825500	5.97102600
13.60027178	3.18928400	6.05776300
13.73360778	3.23296000	5.97102600
13.86694377	3.32031300	6.05776300
14.00027977	3.36398900	6.05776300
14.13361577	3.40766500	6.05776300
14.26695177	3.49501700	6.14419300
14.40028776	3.53869300	6.14419300
14.53362376	3.58252300	6.23062200
14.66695976	3.62619900	6.23062200
14.80029576	3.66987600	6.23062200
14.93363176	3.75722800	6.31736000
15.06696775	3.80090400	6.31736000
15.20030375	3.84458000	6.31736000
15.33363975	3.88825700	6.31736000
15.46697575	3.97560900	6.31736000
15.60031174	4.01928500	6.40379000
15.73364774	4.01928500	6.40379000
15.86698374	4.06296200	6.49021900
16.00031974	4.10679100	6.49021900
16.13365574	4.19414400	6.49021900
16.26699173	4.19414400	6.57695600
16.40032773	4.19414400	6.57695600
16.53366373	4.19414400	6.57695600
16.66699973	4.23782000	6.66338600
