Frekvens	Kanal A	Kanal B
(ms)	(V)	(V)

0.00000000	3.45134100	5.71143000
0.13333600	3.45134100	5.71143000
0.26667200	3.45134100	5.71143000
0.40000799	3.40766500	5.62500000
0.53334399	3.40766500	5.62500000
0.66667999	3.40766500	5.62500000
0.80001599	3.40766500	5.53857000
0.93335198	3.40766500	5.53857000
1.06668798	3.40766500	5.53857000
1.20002398	3.36398900	5.45183300
1.33335998	3.32031300	5.45183300
1.46669598	3.32031300	5.45183300
1.60003197	3.27663600	5.45183300
1.73336797	3.27663600	5.36540400
1.86670397	3.23296000	5.36540400
2.00003997	3.23296000	5.36540400
2.13337597	3.23296000	5.27866600
2.26671196	3.18928400	5.27866600
2.40004796	3.10193200	5.27866600
2.53338396	3.10193200	5.27866600
2.66671996	3.10193200	5.19223700
2.80005595	3.05825500	5.19223700
2.93339195	3.01442600	5.10580700
3.06672795	2.97074900	5.10580700
3.20006395	2.97074900	5.10580700
3.33339995	2.92707300	5.10580700
3.46673594	2.92707300	5.10580700
3.60007194	2.88339700	5.01907000
3.73340794	2.88339700	4.93264000
3.86674394	2.83972100	4.93264000
4.00007993	2.83972100	4.93264000
4.13341593	2.79604500	4.93264000
4.26675193	2.75236800	4.84621000
4.40008793	2.75236800	4.84621000
4.53342393	2.75236800	4.75947300
4.66675992	2.75236800	4.84621000
4.80009592	2.75236800	4.75947300
4.93343192	2.70869200	4.75947300
5.06676792	2.75236800	4.67304400
5.20010391	2.75236800	4.67304400
5.33343991	2.70869200	4.67304400
5.46677591	2.70869200	4.67304400
5.60011191	2.70869200	4.58661400
5.73344791	2.70869200	4.58661400
5.86678390	2.70869200	4.58661400
6.00011990	2.75236800	4.58661400
6.13345590	2.75236800	4.49987700
6.26679190	2.75236800	4.49987700
6.40012790	2.79604500	4.49987700
6.53346389	2.75236800	4.41344700
6.66679989	2.79604500	4.41344700
6.80013589	2.79604500	4.32671000
6.93347189	2.79604500	4.32671000
7.06680788	2.83972100	4.32671000
7.20014388	2.88339700	4.32671000
7.33347988	2.88339700	4.24028100
7.46681588	2.88339700	4.24028100
7.60015188	2.92707300	4.24028100
7.73348787	2.97074900	4.15385100
7.86682387	2.97074900	4.15385100
8.00015987	2.97074900	4.15385100
8.13349587	3.01442600	4.15385100
8.26683186	3.05825500	4.06711400
8.40016786	3.05825500	4.06711400
8.53350386	3.10193200	4.06711400
8.66683986	3.14560800	3.98068400
8.80017586	3.14560800	3.98068400
8.93351185	3.18928400	3.98068400
9.06684785	3.23296000	3.89425400
9.20018385	3.23296000	3.89425400
9.33351985	3.23296000	3.89425400
9.46685584	3.27663600	3.89425400
9.60019184	3.32031300	3.80751700
9.73352784	3.32031300	3.80751700
9.86686384	3.36398900	3.80751700
10.00019984	3.36398900	3.72108800
10.13353583	3.40766500	3.72108800
10.26687183	3.40766500	3.72108800
10.40020783	3.40766500	3.63465800
10.53354383	3.45134100	3.63465800
10.66687983	3.45134100	3.63465800
10.80021582	3.45134100	3.54792100
10.93355182	3.49501700	3.54792100
11.06688782	3.45134100	3.46149100
11.20022382	3.49501700	3.54792100
11.33355981	3.49501700	3.46149100
11.46689581	3.49501700	3.46149100
11.60023181	3.49501700	3.37506200
11.73356781	3.49501700	3.37506200
11.86690381	3.49501700	3.37506200
12.00023980	3.49501700	3.37506200
12.13357580	3.45134100	3.28832400
12.26691180	3.49501700	3.28832400
12.40024780	3.40766500	3.28832400
12.53358379	3.45134100	3.20189500
12.66691979	3.45134100	3.20189500
12.80025579	3.40766500	3.20189500
12.93359179	3.36398900	3.20189500
13.06692779	3.36398900	3.11515700
13.20026378	3.36398900	3.11515700
13.33359978	3.36398900	3.11515700
13.46693578	3.32031300	3.02872800
13.60027178	3.32031300	3.02872800
13.73360778	3.27663600	2.94229800
13.86694377	3.27663600	2.94229800
14.00027977	3.18928400	2.94229800
14.13361577	3.23296000	2.94229800
14.26695177	3.14560800	2.85556100
14.40028776	3.18928400	2.85556100
14.53362376	3.14560800	2.85556100
14.66695976	3.14560800	2.76913100
14.80029576	3.10193200	2.76913100
14.93363176	3.05825500	2.76913100
15.06696775	3.01442600	2.68270200
15.20030375	3.01442600	2.76913100
15.33363975	2.97074900	2.68270200
15.46697575	2.97074900	2.59596500
15.60031174	2.92707300	2.59596500
15.73364774	2.92707300	2.59596500
15.86698374	2.88339700	2.59596500
16.00031974	2.88339700	2.50953500
16.13365574	2.83972100	2.50953500
16.26699173	2.83972100	2.50953500
16.40032773	2.79604500	2.42310500
16.53366373	2.79604500	2.42310500
16.66699973	2.79604500	2.42310500
