Frekvens	Kanal A	Kanal B
(ms)	(V)	(V)

0.00000000	3.80090400	2.07677200
0.13333600	3.88825700	1.99034200
0.26667200	3.97560900	1.99034200
0.40000799	4.01928500	1.99034200
0.53334399	4.06296200	1.90360500
0.66667999	4.10679100	1.90360500
0.80001599	4.10679100	1.90360500
0.93335198	4.10679100	1.90360500
1.06668798	4.15046700	1.81717500
1.20002398	4.19414400	1.81717500
1.33335998	4.19414400	1.73074600
1.46669598	4.19414400	1.73074600
1.60003197	4.15046700	1.73074600
1.73336797	4.15046700	1.73074600
1.86670397	4.15046700	1.73074600
2.00003997	4.10679100	1.64400800
2.13337597	4.06296200	1.64400800
2.26671196	4.01928500	1.64400800
2.40004796	4.01928500	1.55757900
2.53338396	3.93193300	1.55757900
2.66671996	3.88825700	1.55757900
2.80005595	3.84458000	1.47114900
2.93339195	3.75722800	1.47114900
3.06672795	3.66987600	1.47114900
3.20006395	3.58252300	1.38441200
3.33339995	3.53869300	1.38441200
3.46673594	3.45134100	1.38441200
3.60007194	3.36398900	1.38441200
3.73340794	3.27663600	1.29798200
3.86674394	3.23296000	1.29798200
4.00007993	3.14560800	1.29798200
4.13341593	3.10193200	1.21155300
4.26675193	3.01442600	1.21155300
4.40008793	2.92707300	1.21155300
4.53342393	2.92707300	1.12481500
4.66675992	2.79604500	1.12481500
4.80009592	2.79604500	1.12481500
4.93343192	2.75236800	1.12481500
5.06676792	2.70869200	1.03838600
5.20010391	2.70869200	1.03838600
5.33343991	2.66501600	0.95164860
5.46677591	2.66501600	0.95164860
5.60011191	2.66501600	0.95164860
5.73344791	2.66501600	0.95164860
5.86678390	2.70869200	0.86521900
6.00011990	2.70869200	0.86521900
6.13345590	2.75236800	0.86521900
6.26679190	2.79604500	0.77878930
6.40012790	2.83972100	0.77878930
6.53346389	2.88339700	0.77878930
6.66679989	2.97074900	0.69205220
6.80013589	3.05825500	0.69205220
6.93347189	3.10193200	0.69205220
7.06680788	3.18928400	0.69205220
7.20014388	3.27663600	0.60562250
7.33347988	3.36398900	0.60562250
7.46681588	3.45134100	0.60562250
7.60015188	3.53869300	0.51919290
7.73348787	3.62619900	0.51919290
7.86682387	3.71355200	0.51919290
8.00015987	3.75722800	0.51919290
8.13349587	3.84458000	0.43245570
8.26683186	3.93193300	0.43245570
8.40016786	3.97560900	0.43245570
8.53350386	4.01928500	0.34602610
8.66683986	4.06296200	0.34602610
8.80017586	4.15046700	0.34602610
8.93351185	4.19414400	0.25959650
9.06684785	4.19414400	0.25959650
9.20018385	4.19414400	0.25959650
9.33351985	4.23782000	0.25959650
9.46685584	4.23782000	0.25959650
9.60019184	4.23782000	0.17285930
9.73352784	4.23782000	0.17285930
9.86686384	4.23782000	0.17285930
10.00019984	4.19414400	0.08642963
10.13353583	4.23782000	0.08642963
10.26687183	4.19414400	0.08642963
10.40020783	4.15046700	0.08642963
10.53354383	4.10679100	0.08642963
10.66687983	4.15046700	0.17285930
10.80021582	4.15046700	0.17285930
10.93355182	4.15046700	0.17285930
11.06688782	4.15046700	0.25959650
11.20022382	4.19414400	0.25959650
11.33355981	4.19414400	0.25959650
11.46689581	4.19414400	0.34602610
11.60023181	4.23782000	0.34602610
11.73356781	4.19414400	0.34602610
11.86690381	4.28149600	0.34602610
12.00023980	4.28149600	0.43245570
12.13357580	4.28149600	0.43245570
12.26691180	4.32517200	0.43245570
12.40024780	4.32517200	0.51919290
12.53358379	4.28149600	0.51919290
12.66691979	4.28149600	0.51919290
12.80025579	4.28149600	0.60562250
12.93359179	4.28149600	0.60562250
13.06692779	4.28149600	0.60562250
13.20026378	4.28149600	0.69205220
13.33359978	4.23782000	0.69205220
13.46693578	4.23782000	0.69205220
13.60027178	4.19414400	0.77878930
13.73360778	4.15046700	0.77878930
13.86694377	4.15046700	0.77878930
14.00027977	4.10679100	0.86521900
14.13361577	4.06296200	0.86521900
14.26695177	4.01928500	0.86521900
14.40028776	3.97560900	0.86521900
14.53362376	3.93193300	0.95164860
14.66695976	3.84458000	0.95164860
14.80029576	3.84458000	0.95164860
14.93363176	3.75722800	0.95164860
15.06696775	3.66987600	1.03838600
15.20030375	3.62619900	1.03838600
15.33363975	3.58252300	1.03838600
15.46697575	3.49501700	1.12481500
15.60031174	3.45134100	1.12481500
15.73364774	3.36398900	1.21155300
15.86698374	3.27663600	1.21155300
16.00031974	3.18928400	1.21155300
16.13365574	3.18928400	1.21155300
16.26699173	3.10193200	1.29798200
16.40032773	3.05825500	1.29798200
16.53366373	3.01442600	1.29798200
16.66699973	2.92707300	1.29798200
