Tid	Kanal A
(s)	(V)

-0.17970000	0.29690580
-0.17960000	0.29690580
-0.17950000	0.29690580
-0.17940000	0.29690580
-0.17930000	0.29690580
-0.17920000	0.29690580
-0.17910000	0.29690580
-0.17900000	0.29690580
-0.17890000	0.29690580
-0.17880000	0.29690580
-0.17870000	0.30619460
-0.17860000	0.29690580
-0.17850000	0.30619460
-0.17840000	0.30619460
-0.17830000	0.30619460
-0.17820000	0.30619460
-0.17810000	0.29690580
-0.17800000	0.29690580
-0.17790000	0.29690580
-0.17780000	0.29690580
-0.17770000	0.29690580
-0.17760000	0.29690580
-0.17750000	0.29690580
-0.17740000	0.29690580
-0.17730000	0.29690580
-0.17720000	0.29690580
-0.17710000	0.30619460
-0.17700000	0.30619460
-0.17690000	0.30619460
-0.17680000	0.30619460
-0.17670000	0.30619460
-0.17660000	0.29690580
-0.17650000	0.30619460
-0.17640000	0.30619460
-0.17630000	0.29690580
-0.17620000	0.29690580
-0.17610000	0.29690580
-0.17600000	0.30619460
-0.17590000	0.29690580
-0.17580000	0.29690580
-0.17570000	0.29690580
-0.17560000	0.29690580
-0.17550000	0.29690580
-0.17540000	0.30619460
-0.17530000	0.30619460
-0.17520000	0.30619460
-0.17510000	0.30619460
-0.17500000	0.29690580
-0.17490000	0.30619460
-0.17480000	0.30619460
-0.17470000	0.30619460
-0.17460000	0.30619460
-0.17450000	0.30619460
-0.17440000	0.29690580
-0.17430000	0.29690580
-0.17420000	0.29690580
-0.17410000	0.29690580
-0.17400000	0.29690580
-0.17390000	0.29690580
-0.17380000	0.29690580
-0.17370000	0.30619460
-0.17360000	0.30619460
-0.17350000	0.30619460
-0.17340000	0.30619460
-0.17330000	0.30619460
-0.17320000	0.30619460
-0.17310000	0.30619460
-0.17300000	0.30619460
-0.17290000	0.30619460
-0.17280000	0.30619460
-0.17270000	0.30619460
-0.17260000	0.30619460
-0.17250000	0.30619460
-0.17240000	0.29690580
-0.17230000	0.29690580
-0.17220000	0.30619460
-0.17210000	0.30619460
-0.17200000	0.30619460
-0.17190000	0.30619460
-0.17180000	0.30619460
-0.17170000	0.30619460
-0.17160000	0.30619460
-0.17150000	0.31545280
-0.17140000	0.31545280
-0.17130000	0.31545280
-0.17120000	0.31545280
-0.17110000	0.31545280
-0.17100000	0.31545280
-0.17090000	0.31545280
-0.17080000	0.31545280
-0.17070000	0.31545280
-0.17060000	0.31545280
-0.17050000	0.31545280
-0.17040000	0.30619460
-0.17030000	0.30619460
-0.17020000	0.30619460
-0.17010000	0.30619460
-0.17000000	0.30619460
-0.16990000	0.30619460
-0.16980000	0.30619460
-0.16970000	0.30619460
-0.16960000	0.30619460
-0.16950000	0.30619460
-0.16940000	0.30619460
-0.16930000	0.30619460
-0.16920000	0.30619460
-0.16910000	0.30619460
-0.16900000	0.30619460
-0.16890000	0.30619460
-0.16880000	0.31545280
-0.16870000	0.31545280
-0.16860000	0.31545280
-0.16850000	0.32474160
-0.16840000	0.32474160
-0.16830000	0.33403050
-0.16820000	0.33403050
-0.16810000	0.33403050
-0.16800000	0.34328860
-0.16790000	0.34328860
-0.16780000	0.33403050
-0.16770000	0.32474160
-0.16760000	0.32474160
-0.16750000	0.31545280
-0.16740000	0.31545280
-0.16730000	0.30619460
-0.16720000	0.29690580
-0.16710000	0.29690580
-0.16700000	0.29690580
-0.16690000	0.28761690
-0.16680000	0.28761690
-0.16670000	0.28761690
-0.16660000	0.28761690
-0.16650000	0.28761690
-0.16640000	0.29690580
-0.16630000	0.29690580
-0.16620000	0.29690580
-0.16610000	0.29690580
-0.16600000	0.29690580
-0.16590000	0.29690580
-0.16580000	0.29690580
-0.16570000	0.28761690
-0.16560000	0.28761690
-0.16550000	0.28761690
-0.16540000	0.28761690
-0.16530000	0.27835880
-0.16520000	0.27835880
-0.16510000	0.27835880
-0.16500000	0.27835880
-0.16490000	0.27835880
-0.16480000	0.27835880
-0.16470000	0.27835880
-0.16460000	0.27835880
-0.16450000	0.27835880
-0.16440000	0.26906990
-0.16430000	0.25978100
-0.16420000	0.25978100
-0.16410000	0.25978100
-0.16400000	0.25052290
-0.16390000	0.25052290
-0.16380000	0.25052290
-0.16370000	0.25052290
-0.16360000	0.25052290
-0.16350000	0.25052290
