Settings,Read-Out-Noise,Error
ron_qH_gH_b4_r1.tif,4.706084440650549,0.0026415916969355496
ron_qL_gM_b1_r1.tif,2.6290618512350283,0.01618764611217157
ron_qL_gL_b8_r4.tif,6.106579184548858,0.04456956624832638
ron_qL_gM_b1_r4.tif,9.33414212582571,0.05043032249604227
ron_qH_gL_b4_r0.1.tif,0.9749875938559825,0.06791712515822892
ron_qH_gM_b8_r4.tif,8.342075518448548,0.04566168120911084
ron_qH_gL_b20_r0.1.tif,0.9903608725032321,0.07765424304782181
ron_qH_gM_b20_r4.tif,8.46401041966581,0.05300549518827165
ron_qH_gH_b8_r0.1.tif,4.029122477309,0.21662447843048255
ron_qH_gM_b4_r4.tif,8.754417648381132,0.041178080912782314
ron_qH_gL_b4_r1.tif,1.1682588571284227,0.004376434739289772
ron_qL_gL_b1_r4.tif,3.4779442383510863,0.018339508727073923
ron_qH_gM_b8_r0.1.tif,1.6951096817948934,0.08417876924373131
ron_qH_gH_b20_r1.tif,6.075595130298822,0.6208797307031408
ron_qL_gH_b4_r4.tif,15.497199500868724,0.06053084374314806
ron_qH_gH_b1_r4.tif,18.02223776837583,0.06825446262961254
ron_qH_gH_b4_r0.1.tif,6.546744371099492,1.126819100450631
ron_qH_gH_b1_r1.tif,4.430350186048849,0.0009553029680522849
ron_qH_gM_b4_r0.1.tif,1.5301429959936022,0.1142020352195753
ron_qH_gL_b8_r0.1.tif,1.454867978121632,0.369234891226807
ron_qL_gH_b8_r0.1.tif,4.0910628509112605,0.024517665682403687
ron_qL_gH_b1_r4.tif,17.7928441213529,0.011966192213443036
ron_qH_gH_b1_r0.1.tif,3.54382071290979,0.1444855174051463
ron_qL_gL_b20_r4.tif,4.965980080047448,0.01712345867314334
ron_qL_gL_b1_r0.1.tif,1.717632514030752,0.06292450092301628
ron_qL_gH_b20_r1.tif,13.314576545866,3.0515199283644923
ron_qL_gL_b8_r0.1.tif,4.165437840110115,1.5278798326861147
ron_qH_gM_b8_r1.tif,2.178255951335201,0.018084584413383432
ron_qH_gH_b8_r1.tif,7.611000433119484,1.7338252903689002
ron_qH_gL_b8_r4.tif,3.7250786918701433,0.018361721533964613
ron_qL_gM_b4_r0.1.tif,3.032858523581844,0.21244940803766246
ron_qL_gL_b4_r4.tif,5.561444942780663,0.037120208488747905
ron_qL_gH_b20_r4.tif,19.942196447025268,2.065799874069588
ron_qL_gH_b8_r4.tif,16.0412469969114,0.07545059531602169
ron_qH_gM_b1_r4.tif,5.722525720959011,0.01751951680154567
ron_qH_gH_b20_r4.tif,14.134547369924654,0.14217550604471196
ron_qH_gM_b20_r0.1.tif,3.163896629272648,0.8228976413085131
ron_qL_gH_b1_r1.tif,4.96347656171766,0.009774570148709175
ron_qL_gL_b1_r1.tif,1.544370641915129,0.000343697670741378
ron_qH_gL_b20_r4.tif,3.876887546875543,0.026245514655528566
ron_qH_gM_b20_r1.tif,3.0483972487251227,0.4052579873876504
ron_qL_gM_b1_r0.1.tif,3.344520384383314,0.2462257017721163
ron_qL_gH_b4_r0.1.tif,12.998396394419181,3.385974008909091
ron_qL_gL_b4_r1.tif,1.270968523882431,0.0016991385247350924
ron_qL_gL_b4_r0.1.tif,1.5333984561447067,0.26973322874224054
ron_qH_gH_b8_r4.tif,13.863832432628126,0.01696332289199134
ron_qL_gM_b20_r1.tif,5.35302395845812,1.1106351086528339
ron_qL_gH_b4_r1.tif,7.7247445246772894,1.1705775400291667
ron_qH_gL_b1_r4.tif,3.392291878654153,0.012946447753738481
ron_qL_gH_b1_r0.1.tif,6.29964497981394,0.49847836883306385
ron_qL_gM_b20_r4.tif,9.55304410296941,0.39664180222470286
ron_qH_gM_b1_r0.1.tif,1.5361043305143203,0.03213817226721537
ron_qH_gH_b4_r4.tif,14.308610996253881,0.05528715864171061
ron_qH_gL_b1_r1.tif,1.0848061121511081,0.0012707483692788431
ron_qL_gM_b4_r1.tif,3.409266621058025,0.48950020420650997
ron_qH_gM_b4_r1.tif,2.1124370374959534,0.012122098211260963
ron_qL_gM_b8_r1.tif,3.1213448903833183,0.10453169538108381
ron_qL_gL_b8_r1.tif,1.405306704857221,0.029957119398361636
ron_qL_gM_b20_r0.1.tif,6.680274315380506,2.0005818121816947
ron_qH_gL_b8_r1.tif,1.1865983377343323,0.005820234135621401
ron_qH_gH_b20_r0.1.tif,18.756086740376556,6.465763892171989
ron_qL_gL_b20_r1.tif,2.345072734344647,0.4534760296493481
ron_qL_gM_b8_r0.1.tif,5.301026526618026,1.3429065675783836
ron_qH_gM_b1_r1.tif,1.9213607843820109,0.008097322483264733
ron_qH_gL_b20_r1.tif,1.4683954423941283,0.1625864023289188
ron_qL_gH_b8_r1.tif,6.699111553301187,0.21202910181518278
ron_qL_gM_b8_r4.tif,9.827851977614186,0.7288962724026748
ron_qH_gL_b1_r0.1.tif,1.0332201305411075,0.017580020134726673
ron_qH_gL_b4_r4.tif,3.8699004581437695,0.019228217960007184
ron_qL_gL_b20_r0.1.tif,3.186029899048208,0.9363417508834498
ron_qL_gH_b20_r0.1.tif,12.15019228157902,2.877650233383221
ron_qL_gM_b4_r4.tif,8.36327393297767,0.05523521535074174
