Settings,Mean-charge,Error
dc_qH_gH_b1_r4_e7000.tif,9826.888400313373,5.890529801160031e-11
dc_qH_gL_b4_r0.1_e500.tif,9480979.18644811,9.520865823492483e-14
dc_qL_gH_b20_r4_e500.tif,48.935303231915455,2.9086493918317476e-05
dc_qL_gH_b1_r1_e7000.tif,394409.54227466165,4.153497118468049e-13
dc_qL_gH_b4_r1_e500.tif,23247.479347765824,1.8413148394365612e-10
dc_qH_gL_b1_r0.1_e5000.tif,60196522.49939845,5.098214609209042e-16
dc_qL_gM_b20_r0.1_e10000.tif,23.353981687146707,4.545061957944177e-05
dc_qL_gL_b4_r0.1_e500.tif,2148239.496393925,6.200646385126186e-13
dc_qL_gH_b20_r0.1_e500.tif,1831.675343952005,1.7598724861991827e-07
dc_qH_gH_b4_r0.1_e10000.tif,80443.21900657042,3.9655503884613446e-11
dc_qH_gH_b4_r1_e500.tif,61588.62204252353,7.923718153349314e-11
dc_qH_gL_b4_r1_e500.tif,4192883.054408492,2.8732768413516945e-13
dc_qL_gL_b20_r4_e10000.tif,371.20288960163566,8.145630979246901e-07
dc_qH_gH_b4_r0.1_e500.tif,97681.922754241,2.7478833317540145e-11
dc_qH_gH_b20_r1_e5000.tif,643.3161512669178,5.540200436765176e-07
dc_qH_gL_b1_r4_e5000.tif,822193.9961766576,1.615453466515292e-13
dc_qL_gL_b4_r4_e10000.tif,23463.57042193573,2.8464875767609046e-10
dc_qH_gH_b20_r1_e500.tif,1827.4026594220234,2.0394324842140608e-07
dc_qH_gM_b4_r0.1_e500.tif,2673454.6158643616,5.048909211757196e-13
dc_qL_gH_b4_r4_e10000.tif,1173.5502753441347,1.5602751295057536e-08
dc_qL_gM_b8_r4_e500.tif,3571.8632895418914,1.4414587933033823e-08
dc_qL_gM_b4_r0.1_e3000.tif,199162.80652976673,1.268922843323409e-11
dc_qH_gL_b1_r1_e10000.tif,43286788.4626887,7.9292111719464e-16
dc_qL_gL_b20_r0.1_e5000.tif,626.6510579016729,8.281766231962463e-07
dc_qL_gL_b1_r1_e3000.tif,23020047.33481267,3.1964914007442794e-15
dc_qH_gL_b8_r4_e500.tif,41861.405633813054,5.308234175779684e-10
dc_qL_gL_b1_r1_e5000.tif,23059113.524782456,3.1891482798102297e-15
dc_qH_gH_b20_r0.1_e5000.tif,496.04808174521423,6.951042163408908e-07
dc_qH_gM_b8_r4_e5000.tif,2249.270826001079,2.50278226279456e-08
dc_qH_gM_b20_r1_e3000.tif,2205.430068295151,1.6171302240695257e-07
dc_qL_gL_b1_r4_e7000.tif,746904.7835651581,1.8352861272281197e-13
dc_qH_gH_b1_r1_e7000.tif,638370.9312506435,2.2023705361502572e-13
dc_qH_gM_b8_r1_e10000.tif,69238.21976340069,2.0869291718770246e-10
dc_qL_gL_b1_r4_e5000.tif,743471.6650527314,1.8451339876567147e-13
dc_qH_gM_b4_r4_e500.tif,8200.077941568063,1.1998460372750291e-09
dc_qL_gH_b20_r0.1_e7000.tif,97.46447682936603,1.5335762725261308e-06
dc_qL_gL_b1_r1_e500.tif,23036385.20065613,3.1933042781538636e-15
dc_qH_gH_b4_r4_e10000.tif,1796.9117236300897,8.977809999881745e-09
dc_qH_gH_b8_r4_e3000.tif,602.5176777249891,1.3503894317727407e-07
dc_qL_gH_b8_r0.1_e500.tif,20742.237174386388,1.005560382988272e-09
dc_qL_gM_b8_r0.1_e3000.tif,10483.824325928807,2.1984643948219954e-09
dc_qH_gL_b1_r4_e7000.tif,816688.4230169783,1.6299135505277937e-13
dc_qH_gM_b4_r0.1_e7000.tif,1088924.003000017,1.4023743720113594e-12
dc_qL_gM_b4_r4_e7000.tif,5991.942236500577,1.5181273242315153e-09
dc_qL_gM_b8_r4_e5000.tif,1827.798714737967,2.481081713709807e-08
