Serie.

P-intensitet: 2.845
S-intensitet: 2.845

RV, TV, TP, TS,

87, 53, 0.436, 0.322
86, 50, 1.024, 0.576
85, 47, 1.668, 0.980
84, 45, 1.816, 1.024
83, 44, 1.624, 0.971
82, 43, 1.482, 0.913
80, 39, 2.052, 1.331
76, 37, 2.163, 1.53
73, 34, 2.366, 1.729
70, 32, 2.195, 1.548
66, 29, 2.532, 1.973
63, 27, 2.573, 2.083
60, 25, 2.651, 2.206
55, 23, 2.576, 2.195
50, 19, 2.769, 2.456 
