Tid	Kanal &A
(ms)	(V)

0.00000000	-2.90139000
0.19999999	-2.85463800
0.39999999	-2.85463800
0.59999998	-2.85463800
0.79999998	-2.80788600
0.99999997	-2.85463800
1.19999997	-2.80788600
1.39999996	-2.85463800
1.59999996	-2.85463800
1.79999995	-2.85463800
1.99999995	-2.85463800
2.19999994	-2.90139000
2.39999994	-2.85463800
2.59999993	-2.80788600
2.79999993	-2.85463800
2.99999992	-2.85463800
3.19999992	-2.85463800
3.39999991	-2.85463800
3.59999991	-2.85463800
3.79999990	-2.80788600
3.99999990	-2.85463800
4.19999989	-2.85463800
4.39999989	-2.80788600
4.59999988	-2.85463800
4.79999988	-2.85463800
4.99999987	-2.80788600
5.19999987	-2.85463800
5.39999986	-2.85463800
5.59999986	-2.85463800
5.79999985	-2.80788600
5.99999985	-2.80788600
6.19999984	-2.85463800
6.39999984	-2.85463800
6.59999983	-2.85463800
6.79999983	-2.80788600
6.99999982	-2.80788600
7.19999982	-2.80788600
7.39999981	-2.85463800
7.59999981	-2.80788600
7.79999980	-2.90139000
7.99999980	-2.90139000
8.19999979	-2.85463800
8.39999979	-2.85463800
8.59999978	-2.80788600
8.79999978	-2.80788600
8.99999977	-2.90139000
9.19999977	-2.80788600
9.39999976	-2.80788600
9.59999976	-2.85463800
9.79999975	-2.85463800
9.99999975	-2.85463800
10.19999974	-2.80788600
10.39999974	-2.90139000
10.59999973	-2.85463800
10.79999973	-2.85463800
10.99999972	-2.85463800
11.19999972	-2.85463800
11.39999971	-2.85463800
11.59999971	-2.85463800
11.79999970	-2.85463800
11.99999970	-2.85463800
12.19999969	-2.85463800
12.39999969	-2.85463800
12.59999968	-2.85463800
12.79999968	-2.80788600
12.99999967	-2.85463800
13.19999967	-2.85463800
13.39999966	-2.85463800
13.59999966	-2.80788600
13.79999965	-2.85463800
13.99999965	-2.80788600
14.19999964	-2.85463800
14.39999964	-2.80788600
14.59999963	-2.85463800
14.79999963	-2.85463800
14.99999962	-2.80788600
15.19999962	-2.90139000
15.39999961	-2.85463800
15.59999961	-2.80788600
15.79999960	-2.90139000
15.99999960	-2.85463800
16.19999959	-2.85463800
16.39999959	-2.85463800
16.59999958	-2.90139000
16.79999958	-2.85463800
16.99999957	-2.80788600
17.19999957	-2.85463800
17.39999956	-2.80788600
17.59999956	-2.85463800
17.79999955	-2.80788600
17.99999955	-2.80788600
18.19999954	-2.90139000
18.39999954	-2.80788600
18.59999953	-2.90139000
18.79999953	-2.85463800
18.99999952	-2.85463800
19.19999951	-2.85463800
19.39999951	-2.85463800
19.59999950	-2.85463800
19.79999950	-2.85463800
19.99999949	-2.85463800
20.19999949	-2.80788600
20.39999948	-2.85463800
20.59999948	-2.85463800
20.79999947	-2.85463800
20.99999947	-2.85463800
21.19999946	-2.85463800
21.39999946	-2.85463800
21.59999945	-2.85463800
21.79999945	-2.90139000
21.99999944	-2.85463800
22.19999944	-2.85463800
22.39999943	-2.85463800
22.59999943	-2.85463800
22.79999942	-2.80788600
22.99999942	-2.85463800
23.19999941	-2.85463800
23.39999941	-2.85463800
