Tid	Kanal &A
(ms)	(V)

0.00000000	2.15274400
0.19999999	2.10583800
0.39999999	2.10583800
0.59999998	2.10583800
0.79999998	2.10583800
0.99999997	2.10583800
1.19999997	2.10583800
1.39999996	2.10583800
1.59999996	2.05908600
1.79999995	2.10583800
1.99999995	2.05908600
2.19999994	2.15274400
2.39999994	2.10583800
2.59999993	2.15274400
2.79999993	2.10583800
2.99999992	2.10583800
3.19999992	2.15274400
3.39999991	2.15274400
3.59999991	2.10583800
3.79999990	2.10583800
3.99999990	2.10583800
4.19999989	2.10583800
4.39999989	2.10583800
4.59999988	2.10583800
4.79999988	2.10583800
4.99999987	2.15274400
5.19999987	2.15274400
5.39999986	2.15274400
5.59999986	2.15274400
5.79999985	2.10583800
5.99999985	2.15274400
6.19999984	2.15274400
6.39999984	2.15274400
6.59999983	2.15274400
6.79999983	2.05908600
6.99999982	2.10583800
7.19999982	2.10583800
7.39999981	2.15274400
7.59999981	2.05908600
7.79999980	2.10583800
7.99999980	2.10583800
8.19999979	2.10583800
8.39999979	2.10583800
8.59999978	2.10583800
8.79999978	2.15274400
8.99999977	2.15274400
9.19999977	2.10583800
9.39999976	2.19949600
9.59999976	2.10583800
9.79999975	2.10583800
9.99999975	2.10583800
10.19999974	2.10583800
10.39999974	2.10583800
10.59999973	2.15274400
10.79999973	2.10583800
10.99999972	2.10583800
11.19999972	2.15274400
11.39999971	2.10583800
11.59999971	2.15274400
11.79999970	2.15274400
11.99999970	2.10583800
12.19999969	2.15274400
12.39999969	2.05908600
12.59999968	2.10583800
12.79999968	2.15274400
12.99999967	2.10583800
13.19999967	2.10583800
13.39999966	2.10583800
13.59999966	2.10583800
13.79999965	2.10583800
13.99999965	2.15274400
14.19999964	2.10583800
14.39999964	2.15274400
14.59999963	2.10583800
14.79999963	2.15274400
14.99999962	2.15274400
15.19999962	2.10583800
15.39999961	2.10583800
15.59999961	2.10583800
15.79999960	2.10583800
15.99999960	2.15274400
16.19999959	2.15274400
16.39999959	2.10583800
16.59999958	2.05908600
16.79999958	2.10583800
16.99999957	2.15274400
17.19999957	2.10583800
17.39999956	2.15274400
17.59999956	2.10583800
17.79999955	2.10583800
17.99999955	2.15274400
18.19999954	2.15274400
18.39999954	2.10583800
18.59999953	2.15274400
18.79999953	2.10583800
18.99999952	2.10583800
19.19999951	2.10583800
19.39999951	2.10583800
19.59999950	2.10583800
19.79999950	2.15274400
19.99999949	2.10583800
20.19999949	2.10583800
20.39999948	2.10583800
20.59999948	2.15274400
20.79999947	2.10583800
20.99999947	2.10583800
21.19999946	2.10583800
21.39999946	2.15274400
21.59999945	2.15274400
21.79999945	2.15274400
21.99999944	2.15274400
22.19999944	2.10583800
22.39999943	2.10583800
22.59999943	2.10583800
22.79999942	2.10583800
22.99999942	2.15274400
23.19999941	2.10583800
23.39999941	2.10583800
23.59999940	2.15274400
23.79999940	2.10583800
23.99999939	2.10583800
24.19999939	2.15274400
24.39999938	2.15274400
24.59999938	2.15274400
24.79999937	2.10583800
24.99999937	2.15274400
25.19999936	2.10583800
25.39999936	2.10583800
