Tid	Kanal &A
(ms)	(V)

0.00000000	-3.50978100
0.19999999	-3.55668700
0.39999999	-3.50978100
0.59999998	-3.55668700
0.79999998	-3.50978100
0.99999997	-3.50978100
1.19999997	-3.55668700
1.39999996	-3.50978100
1.59999996	-3.46302900
1.79999995	-3.55668700
1.99999995	-3.55668700
2.19999994	-3.50978100
2.39999994	-3.50978100
2.59999993	-3.55668700
2.79999993	-3.50978100
2.99999992	-3.55668700
3.19999992	-3.55668700
3.39999991	-3.55668700
3.59999991	-3.50978100
3.79999990	-3.55668700
3.99999990	-3.50978100
4.19999989	-3.55668700
4.39999989	-3.55668700
4.59999988	-3.50978100
4.79999988	-3.55668700
4.99999987	-3.55668700
5.19999987	-3.55668700
5.39999986	-3.50978100
5.59999986	-3.55668700
5.79999985	-3.55668700
5.99999985	-3.50978100
6.19999984	-3.55668700
6.39999984	-3.50978100
6.59999983	-3.50978100
6.79999983	-3.55668700
6.99999982	-3.50978100
7.19999982	-3.50978100
7.39999981	-3.50978100
7.59999981	-3.50978100
7.79999980	-3.55668700
7.99999980	-3.55668700
8.19999979	-3.60343900
8.39999979	-3.50978100
8.59999978	-3.55668700
8.79999978	-3.55668700
8.99999977	-3.50978100
9.19999977	-3.55668700
9.39999976	-3.50978100
9.59999976	-3.55668700
9.79999975	-3.55668700
9.99999975	-3.55668700
10.19999974	-3.50978100
10.39999974	-3.50978100
10.59999973	-3.55668700
10.79999973	-3.60343900
10.99999972	-3.55668700
11.19999972	-3.55668700
11.39999971	-3.50978100
11.59999971	-3.50978100
11.79999970	-3.55668700
11.99999970	-3.60343900
12.19999969	-3.50978100
12.39999969	-3.55668700
12.59999968	-3.55668700
12.79999968	-3.55668700
12.99999967	-3.50978100
13.19999967	-3.55668700
13.39999966	-3.50978100
13.59999966	-3.50978100
13.79999965	-3.60343900
13.99999965	-3.55668700
14.19999964	-3.55668700
14.39999964	-3.55668700
14.59999963	-3.55668700
14.79999963	-3.55668700
14.99999962	-3.60343900
15.19999962	-3.55668700
15.39999961	-3.60343900
15.59999961	-3.55668700
15.79999960	-3.55668700
15.99999960	-3.60343900
16.19999959	-3.55668700
16.39999959	-3.50978100
16.59999958	-3.50978100
16.79999958	-3.50978100
16.99999957	-3.50978100
17.19999957	-3.55668700
17.39999956	-3.55668700
17.59999956	-3.50978100
17.79999955	-3.50978100
17.99999955	-3.55668700
18.19999954	-3.55668700
18.39999954	-3.50978100
18.59999953	-3.50978100
18.79999953	-3.50978100
18.99999952	-3.50978100
19.19999951	-3.50978100
19.39999951	-3.55668700
19.59999950	-3.50978100
19.79999950	-3.50978100
19.99999949	-3.55668700
20.19999949	-3.55668700
20.39999948	-3.55668700
20.59999948	-3.50978100
20.79999947	-3.60343900
20.99999947	-3.55668700
21.19999946	-3.46302900
21.39999946	-3.50978100
21.59999945	-3.50978100
21.79999945	-3.50978100
21.99999944	-3.50978100
22.19999944	-3.50978100
22.39999943	-3.50978100
22.59999943	-3.55668700
22.79999942	-3.50978100
22.99999942	-3.55668700
23.19999941	-3.55668700
23.39999941	-3.50978100
