Tid	Kanal &A
(ms)	(V)

5.89999985	-1.93374800
5.94999985	-1.93374800
5.99999985	-1.93374800
6.04999985	-1.93374800
6.09999985	-1.93374800
6.14999984	-1.93374800
6.19999984	-1.93374800
6.24999984	-1.88776400
6.29999984	-1.93374800
6.34999984	-1.93374800
6.39999984	-1.88776400
6.44999984	-1.93374800
6.49999984	-1.93374800
6.54999983	-1.88776400
6.59999983	-1.93374800
6.64999983	-1.93374800
6.69999983	-1.93374800
6.74999983	-1.93374800
6.79999983	-1.93374800
6.84999983	-1.93374800
6.89999983	-1.93374800
6.94999982	-1.88776400
6.99999982	-1.88776400
7.04999982	-1.88776400
7.09999982	-1.88776400
7.14999982	-1.88776400
7.19999982	-1.93374800
7.24999982	-1.93374800
7.29999982	-1.88776400
7.34999981	-1.93374800
7.39999981	-1.93374800
7.44999981	-1.93374800
7.49999981	-1.88776400
7.54999981	-1.93374800
7.59999981	-1.93374800
7.64999981	-1.93374800
7.69999981	-1.93374800
7.74999980	-1.88776400
7.79999980	-1.93374800
7.84999980	-1.93374800
7.89999980	-1.93374800
7.94999980	-1.93374800
7.99999980	-1.97988400
8.04999980	-1.93374800
8.09999980	-1.93374800
8.14999979	-1.93374800
8.19999979	-1.93374800
8.24999979	-1.88776400
8.29999979	-1.93374800
8.34999979	-1.93374800
8.39999979	-1.93374800
8.44999979	-1.88776400
8.49999979	-1.93374800
8.54999978	-1.93374800
8.59999978	-1.93374800
8.64999978	-1.93374800
8.69999978	-1.93374800
8.74999978	-1.88776400
8.79999978	-1.93374800
8.84999978	-1.93374800
8.89999978	-1.93374800
8.94999977	-1.88776400
8.99999977	-1.88776400
9.04999977	-1.93374800
9.09999977	-1.88776400
9.14999977	-1.88776400
9.19999977	-1.93374800
9.24999977	-1.93374800
9.29999977	-1.93374800
9.34999976	-1.88776400
9.39999976	-1.88776400
9.44999976	-1.93374800
9.49999976	-1.97988400
9.54999976	-1.93374800
9.59999976	-1.93374800
9.64999976	-1.93374800
9.69999975	-1.88776400
9.74999975	-1.93374800
9.79999975	-1.97988400
9.84999975	-1.88776400
9.89999975	-1.93374800
9.94999975	-1.93374800
9.99999975	-1.93374800
10.04999975	-1.93374800
10.09999974	-1.93374800
10.14999974	-1.93374800
10.19999974	-1.88776400
10.24999974	-1.93374800
10.29999974	-1.93374800
10.34999974	-1.93374800
10.39999974	-1.88776400
10.44999974	-1.93374800
10.49999973	-1.88776400
10.54999973	-1.93374800
10.59999973	-1.88776400
10.64999973	-1.88776400
10.69999973	-1.93374800
10.74999973	-1.88776400
10.79999973	-1.88776400
