Tid	Kanal &A
(s)	(V)

-2.01200414	0.95263280
-2.01067080	0.95263280
-2.00933747	0.96198330
-2.00800413	0.95263280
-2.00667079	0.95263280
-2.00533746	0.95263280
-2.00400412	0.95263280
-2.00267079	0.95263280
-2.00133745	0.95263280
-2.00000411	0.96198330
-1.99867078	0.95263280
-1.99733744	0.95263280
-1.99600411	0.95263280
-1.99467077	0.96198330
-1.99333743	0.95263280
-1.99200410	0.95263280
-1.99067076	0.95263280
-1.98933743	0.96198330
-1.98800409	0.95263280
-1.98667075	0.95263280
-1.98533742	0.95263280
-1.98400408	0.95263280
-1.98267075	0.95263280
-1.98133741	0.95263280
-1.98000407	0.95263280
-1.97867074	0.95263280
-1.97733740	0.96198330
-1.97600407	0.95263280
-1.97467073	0.95263280
-1.97333739	0.95263280
-1.97200406	0.95263280
-1.97067072	0.95263280
-1.96933739	0.94331320
-1.96800405	0.95263280
-1.96667071	0.95263280
-1.96533738	0.95263280
-1.96400404	0.95263280
-1.96267071	0.95263280
-1.96133737	0.95263280
-1.96000403	0.95263280
-1.95867070	0.95263280
-1.95733736	0.95263280
-1.95600403	0.95263280
-1.95467069	0.95263280
-1.95333735	0.95263280
-1.95200402	0.95263280
-1.95067068	0.95263280
-1.94933735	0.94331320
-1.94800401	0.94331320
-1.94667067	0.94331320
-1.94533734	0.95263280
-1.94400400	0.95263280
-1.94267067	0.95263280
-1.94133733	0.95263280
-1.94000399	0.95263280
-1.93867066	0.95263280
-1.93733732	0.95263280
-1.93600399	0.95263280
-1.93467065	0.95263280
-1.93333731	0.94331320
-1.93200398	0.95263280
-1.93067064	0.95263280
-1.92933731	0.95263280
-1.92800397	0.95263280
-1.92667063	0.95263280
-1.92533730	0.95263280
-1.92400396	0.95263280
-1.92267063	0.95263280
-1.92133729	0.95263280
-1.92000395	0.95263280
-1.91867062	0.95263280
-1.91733728	0.95263280
-1.91600395	0.96198330
-1.91467061	0.95263280
-1.91333727	0.95263280
-1.91200394	0.95263280
-1.91067060	0.95263280
-1.90933727	0.95263280
-1.90800393	0.95263280
-1.90667059	0.95263280
-1.90533726	0.96198330
-1.90400392	0.96198330
-1.90267059	0.95263280
-1.90133725	0.95263280
-1.90000391	0.95263280
-1.89867058	0.95263280
-1.89733724	0.95263280
-1.89600391	0.96198330
-1.89467057	0.95263280
-1.89333723	0.95263280
-1.89200390	0.96198330
-1.89067056	0.95263280
-1.88933723	0.95263280
-1.88800389	0.95263280
-1.88667055	0.95263280
-1.88533722	0.95263280
-1.88400388	0.96198330
-1.88267055	0.95263280
-1.88133721	0.95263280
-1.88000387	0.95263280
-1.87867054	0.95263280
-1.87733720	0.95263280
-1.87600387	0.94331320
-1.87467053	0.95263280
-1.87333719	0.95263280
-1.87200386	0.95263280
-1.87067052	0.95263280
-1.86933719	0.95263280
-1.86800385	0.95263280
-1.86667051	0.95263280
-1.86533718	0.95263280
-1.86400384	0.95263280
-1.86267051	0.95263280
-1.86133717	0.95263280
-1.86000383	0.95263280
-1.85867050	0.95263280
-1.85733716	0.95263280
-1.85600383	0.95263280
-1.85467049	0.94331320
-1.85333715	0.94331320
-1.85200382	0.95263280
-1.85067048	0.95263280
-1.84933715	0.95263280
-1.84800381	0.95263280
-1.84667047	0.95263280
-1.84533714	0.95263280
-1.84400380	0.95263280
-1.84267047	0.95263280
-1.84133713	0.95263280
-1.84000379	0.95263280
-1.83867046	0.95263280
-1.83733712	0.95263280
-1.83600379	0.94331320
-1.83467045	0.95263280
-1.83333711	0.95263280
-1.83200378	0.95263280
-1.83067044	0.95263280
-1.82933711	0.95263280
-1.82800377	0.95263280
-1.82667043	0.94331320
-1.82533710	0.94331320
-1.82400376	0.95263280
-1.82267043	0.95263280
-1.82133709	0.95263280
-1.82000375	0.95263280
-1.81867042	0.95263280
-1.81733708	0.95263280
-1.81600375	0.95263280
-1.81467041	0.95263280
-1.81333707	0.95263280
-1.81200374	0.95263280
-1.81067040	0.95263280
-1.80933707	0.95263280
-1.80800373	0.95263280
-1.80667039	0.94331320
-1.80533706	0.95263280
-1.80400372	0.96198330
-1.80267039	0.95263280
-1.80133705	0.95263280
-1.80000371	0.95263280
-1.79867038	0.95263280
-1.79733704	0.95263280
-1.79600371	0.95263280
