Tid	Kanal &A
(s)	(V)

-1.72800357	2.11798700
-1.72667023	2.07185000
-1.72533690	2.07185000
-1.72400356	2.07185000
-1.72267023	2.11798700
-1.72133689	2.07185000
-1.72000355	2.11798700
-1.71867022	2.07185000
-1.71733688	2.11798700
-1.71600355	2.07185000
-1.71467021	2.07185000
-1.71333687	2.11798700
-1.71200354	2.11798700
-1.71067020	2.11798700
-1.70933687	2.11798700
-1.70800353	2.11798700
-1.70667019	2.11798700
-1.70533686	2.07185000
-1.70400352	2.07185000
-1.70267019	2.07185000
-1.70133685	2.11798700
-1.70000351	2.11798700
-1.69867018	2.11798700
-1.69733684	2.11798700
-1.69600351	2.07185000
-1.69467017	2.11798700
-1.69333683	2.07185000
-1.69200350	2.16397000
-1.69067016	2.11798700
-1.68933683	2.11798700
-1.68800349	2.11798700
-1.68667015	2.11798700
-1.68533682	2.11798700
-1.68400348	2.07185000
-1.68267015	2.11798700
-1.68133681	2.07185000
-1.68000347	2.11798700
-1.67867014	2.07185000
-1.67733680	2.07185000
-1.67600347	2.07185000
-1.67467013	2.11798700
-1.67333679	2.07185000
-1.67200346	2.11798700
-1.67067012	2.11798700
-1.66933679	2.11798700
-1.66800345	2.11798700
-1.66667011	2.07185000
-1.66533678	2.11798700
-1.66400344	2.07185000
-1.66267011	2.11798700
-1.66133677	2.11798700
-1.66000343	2.07185000
-1.65867010	2.07185000
-1.65733676	2.11798700
-1.65600343	2.07185000
-1.65467009	2.11798700
-1.65333675	2.11798700
-1.65200342	2.07185000
-1.65067008	2.11798700
-1.64933675	2.11798700
-1.64800341	2.11798700
-1.64667007	2.11798700
-1.64533674	2.11798700
-1.64400340	2.11798700
-1.64267007	2.07185000
-1.64133673	2.11798700
-1.64000339	2.07185000
-1.63867006	2.11798700
-1.63733672	2.11798700
-1.63600339	2.07185000
-1.63467005	2.11798700
-1.63333671	2.11798700
-1.63200338	2.07185000
-1.63067004	2.11798700
-1.62933671	2.07185000
-1.62800337	2.11798700
-1.62667003	2.11798700
-1.62533670	2.11798700
-1.62400336	2.07185000
-1.62267003	2.07185000
-1.62133669	2.07185000
-1.62000335	2.11798700
-1.61867002	2.07185000
-1.61733668	2.07185000
-1.61600335	2.11798700
-1.61467001	2.07185000
-1.61333667	2.11798700
-1.61200334	2.11798700
-1.61067000	2.11798700
-1.60933667	2.07185000
-1.60800333	2.11798700
-1.60666999	2.07185000
-1.60533666	2.11798700
-1.60400332	2.07185000
-1.60266999	2.11798700
-1.60133665	2.11798700
-1.60000331	2.11798700
-1.59866998	2.07185000
-1.59733664	2.07185000
-1.59600331	2.11798700
-1.59466997	2.11798700
-1.59333663	2.07185000
-1.59200330	2.07185000
-1.59066996	2.07185000
-1.58933663	2.07185000
-1.58800329	2.11798700
-1.58666995	2.07185000
-1.58533662	2.11798700
-1.58400328	2.07185000
-1.58266995	2.11798700
-1.58133661	2.11798700
-1.58000327	2.11798700
-1.57866994	2.11798700
-1.57733660	2.07185000
-1.57600327	2.11798700
-1.57466993	2.11798700
-1.57333659	2.07185000
-1.57200326	2.11798700
-1.57066992	2.11798700
-1.56933659	2.16397000
-1.56800325	2.07185000
-1.56666991	2.11798700
-1.56533658	2.11798700
-1.56400324	2.11798700
-1.56266991	2.16397000
-1.56133657	2.11798700
-1.56000323	2.11798700
-1.55866990	2.11798700
-1.55733656	2.07185000
-1.55600323	2.11798700
-1.55466989	2.07185000
-1.55333655	2.07185000
-1.55200322	2.11798700
-1.55066988	2.11798700
-1.54933655	2.11798700
-1.54800321	2.11798700
-1.54666987	2.11798700
-1.54533654	2.07185000
-1.54400320	2.07185000
-1.54266987	2.07185000
-1.54133653	2.07185000
-1.54000319	2.11798700
-1.53866986	2.07185000
-1.53733652	2.07185000
-1.53600319	2.16397000
-1.53466985	2.11798700
-1.53333651	2.11798700
-1.53200318	2.11798700
-1.53066984	2.11798700
-1.52933651	2.11798700
-1.52800317	2.11798700
-1.52666983	2.11798700
-1.52533650	2.11798700
-1.52400316	2.11798700
-1.52266983	2.11798700
-1.52133649	2.11798700
-1.52000315	2.07185000
-1.51866982	2.07185000
-1.51733648	2.07185000
-1.51600315	2.11798700
-1.51466981	2.11798700
-1.51333647	2.11798700
-1.51200314	2.11798700
-1.51066980	2.11798700
-1.50933647	2.11798700
-1.50800313	2.11798700
-1.50666979	2.11798700
-1.50533646	2.07185000
-1.50400312	2.11798700
-1.50266979	2.11798700
-1.50133645	2.11798700
-1.50000311	2.07185000
-1.49866978	2.02586700
-1.49733644	2.07185000
-1.49600311	2.11798700
-1.49466977	2.11798700
-1.49333643	2.07185000
-1.49200310	2.11798700
-1.49066976	2.07185000
-1.48933643	2.11798700
-1.48800309	2.07185000
-1.48666975	2.11798700
-1.48533642	2.11798700
-1.48400308	2.11798700
-1.48266975	2.11798700
-1.48133641	2.07185000
-1.48000307	2.07185000
-1.47866974	2.11798700
-1.47733640	2.16397000
-1.47600307	2.07185000
-1.47466973	2.11798700
-1.47333639	2.11798700
-1.47200306	2.11798700
-1.47066972	2.07185000
-1.46933639	2.07185000
-1.46800305	2.07185000
-1.46666971	2.07185000
-1.46533638	2.11798700
-1.46400304	2.11798700
-1.46266971	2.11798700
-1.46133637	2.11798700
-1.46000303	2.07185000
-1.45866970	2.11798700
-1.45733636	2.11798700
-1.45600303	2.11798700
-1.45466969	2.11798700
-1.45333635	2.11798700
-1.45200302	2.11798700
-1.45066968	2.07185000
-1.44933635	2.11798700
-1.44800301	2.07185000
-1.44666967	2.11798700
-1.44533634	2.07185000
-1.44400300	2.11798700
-1.44266967	2.11798700
-1.44133633	2.07185000
-1.44000299	2.11798700
-1.43866966	2.11798700
-1.43733632	2.07185000
-1.43600299	2.07185000
-1.43466965	2.11798700
-1.43333631	2.11798700
-1.43200298	2.11798700
