Tid	Kanal &A
(s)	(V)

-5.03000402	2.90139000
-5.02667069	2.90139000
-5.02333735	2.90139000
-5.02000402	2.90139000
-5.01667068	2.90139000
-5.01333734	2.90139000
-5.01000401	2.94829600
-5.00667067	2.94829600
-5.00333734	2.90139000
-5.00000400	2.90139000
-4.99667066	2.94829600
-4.99333733	2.94829600
-4.99000399	2.99504800
-4.98667066	2.94829600
-4.98333732	2.99504800
-4.98000398	2.99504800
-4.97667065	2.94829600
-4.97333731	2.94829600
-4.97000398	2.99504800
-4.96667064	2.94829600
-4.96333731	2.99504800
-4.96000397	2.99504800
-4.95667063	2.94829600
-4.95333730	2.99504800
-4.95000396	2.99504800
-4.94667063	2.99504800
-4.94333729	2.99504800
-4.94000395	2.99504800
-4.93667062	3.04180000
-4.93333728	3.04180000
-4.93000395	2.99504800
-4.92667061	3.04180000
-4.92333727	3.04180000
-4.92000394	3.08870600
-4.91667060	3.04180000
-4.91333727	2.99504800
-4.91000393	3.04180000
-4.90667059	3.04180000
-4.90333726	3.08870600
-4.90000392	3.04180000
-4.89667059	3.08870600
-4.89333725	3.04180000
-4.89000391	3.04180000
-4.88667058	3.04180000
-4.88333724	3.04180000
-4.88000391	3.08870600
-4.87667057	3.08870600
-4.87333723	3.08870600
-4.87000390	3.04180000
-4.86667056	3.08870600
-4.86333723	3.04180000
-4.86000389	3.04180000
-4.85667055	3.04180000
-4.85333722	3.04180000
-4.85000388	3.08870600
-4.84667055	3.08870600
-4.84333721	3.08870600
-4.84000387	3.04180000
-4.83667054	3.04180000
-4.83333720	3.08870600
-4.83000387	3.08870600
-4.82667053	3.08870600
-4.82333719	3.08870600
-4.82000386	3.08870600
-4.81667052	3.08870600
-4.81333719	3.13545800
-4.81000385	3.08870600
-4.80667051	3.08870600
-4.80333718	3.08870600
-4.80000384	3.08870600
-4.79667051	3.04180000
-4.79333717	3.13545800
-4.79000383	3.08870600
-4.78667050	3.08870600
-4.78333716	3.13545800
-4.78000383	3.13545800
-4.77667049	3.08870600
-4.77333715	3.13545800
-4.77000382	3.13545800
-4.76667048	3.08870600
-4.76333715	3.13545800
-4.76000381	3.08870600
-4.75667047	3.08870600
-4.75333714	3.13545800
-4.75000380	3.13545800
-4.74667047	3.13545800
-4.74333713	3.13545800
-4.74000379	3.08870600
-4.73667046	3.08870600
-4.73333712	3.08870600
-4.73000379	3.08870600
-4.72667045	3.08870600
-4.72333711	3.13545800
-4.72000378	3.13545800
-4.71667044	3.13545800
-4.71333711	3.13545800
-4.71000377	3.08870600
-4.70667043	3.13545800
-4.70333710	3.13545800
-4.70000376	3.13545800
-4.69667043	3.13545800
-4.69333709	3.18221000
-4.69000376	3.13545800
-4.68667042	3.18221000
-4.68333708	3.13545800
-4.68000375	3.13545800
-4.67667041	3.18221000
-4.67333708	3.13545800
-4.67000374	3.08870600
-4.66667040	3.18221000
-4.66333707	3.13545800
-4.66000373	3.13545800
-4.65667040	3.13545800
-4.65333706	3.18221000
-4.65000372	3.13545800
-4.64667039	3.13545800
-4.64333705	3.13545800
-4.64000372	3.18221000
-4.63667038	3.13545800
-4.63333704	3.13545800
-4.63000371	3.13545800
-4.62667037	3.18221000
-4.62333704	3.18221000
-4.62000370	3.13545800
-4.61667036	3.13545800
-4.61333703	3.13545800
-4.61000369	3.18221000
-4.60667036	3.13545800
-4.60333702	3.13545800
-4.60000368	3.18221000
-4.59667035	3.18221000
-4.59333701	3.18221000
-4.59000368	3.13545800
-4.58667034	3.18221000
-4.58333700	3.13545800
-4.58000367	3.18221000
-4.57667033	3.13545800
-4.57333700	3.13545800
-4.57000366	3.13545800
-4.56667032	3.18221000
-4.56333699	3.18221000
-4.56000365	3.18221000
-4.55667032	3.18221000
-4.55333698	3.18221000
-4.55000364	3.18221000
-4.54667031	3.18221000
-4.54333697	3.18221000
-4.54000364	3.18221000
-4.53667030	3.18221000
-4.53333696	3.18221000
-4.53000363	3.18221000
-4.52667029	3.18221000
-4.52333696	3.18221000
-4.52000362	3.18221000
-4.51667028	3.18221000
-4.51333695	3.18221000
-4.51000361	3.18221000
-4.50667028	3.18221000
-4.50333694	3.18221000
-4.50000360	3.22911500
-4.49667027	3.18221000
-4.49333693	3.22911500
-4.49000360	3.18221000
