Tid	Kanal A
(s)	(V)

-1.00286531	0.87217030
-1.00269864	0.85359250
-1.00253197	0.85359250
-1.00236530	0.83507630
-1.00219863	0.83507630
-1.00203195	0.83507630
-1.00186528	0.83507630
-1.00169861	0.83507630
-1.00153194	0.83507630
-1.00136527	0.85359250
-1.00119859	0.85359250
-1.00103192	0.85359250
-1.00086525	0.83507630
-1.00069858	0.81649850
-1.00053191	0.79792080
-1.00036523	0.77940450
-1.00019856	0.77940450
-1.00003189	0.79792080
-0.99986522	0.81649850
-0.99969855	0.83507630
-0.99953187	0.83507630
-0.99936520	0.83507630
-0.99919853	0.83507630
-0.99903186	0.79792080
-0.99886519	0.77940450
-0.99869851	0.74224900
-0.99853184	0.72373280
-0.99836517	0.74224900
-0.99819850	0.76082680
-0.99803183	0.77940450
-0.99786515	0.81649850
-0.99769848	0.83507630
-0.99753181	0.81649850
-0.99736514	0.81649850
-0.99719847	0.77940450
-0.99703179	0.76082680
-0.99686512	0.74224900
-0.99669845	0.74224900
-0.99653178	0.74224900
-0.99636511	0.76082680
-0.99619843	0.77940450
-0.99603176	0.79792080
-0.99586509	0.77940450
-0.99569842	0.77940450
-0.99553175	0.76082680
-0.99536507	0.74224900
-0.99519840	0.72373280
-0.99503173	0.72373280
-0.99486506	0.74224900
-0.99469839	0.74224900
-0.99453171	0.74224900
-0.99436504	0.76082680
-0.99419837	0.76082680
-0.99403170	0.74224900
-0.99386503	0.74224900
-0.99369835	0.72373280
-0.99353168	0.72373280
-0.99336501	0.72373280
-0.99319834	0.72373280
-0.99303167	0.70515500
-0.99286500	0.70515500
-0.99269832	0.70515500
-0.99253165	0.70515500
-0.99236498	0.70515500
-0.99219831	0.70515500
-0.99203164	0.72373280
-0.99186496	0.74224900
-0.99169829	0.76082680
-0.99153162	0.74224900
-0.99136495	0.72373280
-0.99119828	0.70515500
-0.99103160	0.68657730
-0.99086493	0.64948330
-0.99069826	0.63090550
-0.99053159	0.63090550
-0.99036492	0.64948330
-0.99019824	0.68657730
-0.99003157	0.70515500
-0.98986490	0.70515500
-0.98969823	0.70515500
-0.98953156	0.68657730
-0.98936488	0.66806100
-0.98919821	0.64948330
-0.98903154	0.63090550
-0.98886487	0.63090550
-0.98869820	0.64948330
-0.98853152	0.66806100
-0.98836485	0.68657730
-0.98819818	0.68657730
-0.98803151	0.68657730
-0.98786484	0.66806100
-0.98769816	0.64948330
-0.98753149	0.63090550
-0.98736482	0.63090550
-0.98719815	0.61238930
-0.98703148	0.63090550
-0.98686480	0.63090550
-0.98669813	0.64948330
-0.98653146	0.66806100
-0.98636479	0.66806100
-0.98619812	0.64948330
-0.98603144	0.64948330
-0.98586477	0.63090550
-0.98569810	0.61238930
-0.98553143	0.61238930
-0.98536476	0.61238930
-0.98519808	0.61238930
-0.98503141	0.61238930
-0.98486474	0.61238930
-0.98469807	0.61238930
-0.98453140	0.63090550
-0.98436472	0.63090550
-0.98419805	0.63090550
-0.98403138	0.63090550
-0.98386471	0.63090550
-0.98369804	0.63090550
-0.98353136	0.61238930
-0.98336469	0.61238930
-0.98319802	0.59381150
-0.98303135	0.57523380
-0.98286468	0.57523380
-0.98269800	0.57523380
-0.98253133	0.59381150
-0.98236466	0.61238930
-0.98219799	0.63090550
-0.98203132	0.63090550
-0.98186464	0.63090550
-0.98169797	0.61238930
-0.98153130	0.61238930
-0.98136463	0.59381150
-0.98119796	0.57523380
-0.98103128	0.59381150
-0.98086461	0.59381150
-0.98069794	0.61238930
-0.98053127	0.63090550
-0.98036460	0.63090550
-0.98019792	0.63090550
-0.98003125	0.61238930
-0.97986458	0.59381150
-0.97969791	0.55671750
-0.97953124	0.55671750
-0.97936456	0.53813980
-0.97919789	0.55671750
-0.97903122	0.57523380
-0.97886455	0.59381150
-0.97869788	0.61238930
-0.97853120	0.61238930
-0.97836453	0.61238930
-0.97819786	0.59381150
-0.97803119	0.57523380
-0.97786452	0.53813980
-0.97769784	0.53813980
-0.97753117	0.53813980
-0.97736450	0.55671750
-0.97719783	0.55671750
-0.97703116	0.55671750
-0.97686448	0.55671750
-0.97669781	0.55671750
-0.97653114	0.55671750
-0.97636447	0.55671750
-0.97619780	0.53813980
-0.97603112	0.53813980
-0.97586445	0.53813980
