Tid	Kanal A
(s)	(V)

-1.93468191	1.26187300
-1.93434857	1.28045000
-1.93401523	1.28045000
-1.93368190	1.28045000
-1.93334856	1.28045000
-1.93301523	1.28045000
-1.93268189	1.28045000
-1.93234855	1.28045000
-1.93201522	1.28045000
-1.93168188	1.28045000
-1.93134855	1.29902800
-1.93101521	1.29902800
-1.93068187	1.29902800
-1.93034854	1.28045000
-1.93001520	1.28045000
-1.92968187	1.29902800
-1.92934853	1.29902800
-1.92901519	1.29902800
-1.92868186	1.29902800
-1.92834852	1.29902800
-1.92801519	1.29902800
-1.92768185	1.29902800
-1.92734851	1.29902800
-1.92701518	1.29902800
-1.92668184	1.29902800
-1.92634851	1.29902800
-1.92601517	1.29902800
-1.92568183	1.29902800
-1.92534850	1.29902800
-1.92501516	1.29902800
-1.92468183	1.29902800
-1.92434849	1.29902800
-1.92401515	1.29902800
-1.92368182	1.29902800
-1.92334848	1.29902800
-1.92301515	1.29902800
-1.92268181	1.29902800
-1.92234847	1.29902800
-1.92201514	1.29902800
-1.92168180	1.29902800
-1.92134847	1.29902800
-1.92101513	1.29902800
-1.92068179	1.29902800
-1.92034846	1.31754400
-1.92001512	1.29902800
-1.91968179	1.29902800
-1.91934845	1.31754400
-1.91901511	1.31754400
-1.91868178	1.31754400
-1.91834844	1.31754400
-1.91801511	1.31754400
-1.91768177	1.31754400
-1.91734843	1.31754400
-1.91701510	1.31754400
-1.91668176	1.31754400
-1.91634843	1.31754400
-1.91601509	1.31754400
-1.91568175	1.31754400
-1.91534842	1.31754400
-1.91501508	1.31754400
-1.91468175	1.31754400
-1.91434841	1.31754400
-1.91401507	1.31754400
-1.91368174	1.31754400
-1.91334840	1.31754400
-1.91301507	1.31754400
-1.91268173	1.31754400
-1.91234839	1.31754400
-1.91201506	1.31754400
-1.91168172	1.31754400
-1.91134839	1.31754400
-1.91101505	1.31754400
-1.91068171	1.31754400
-1.91034838	1.31754400
-1.91001504	1.31754400
-1.90968171	1.31754400
-1.90934837	1.31754400
-1.90901503	1.31754400
-1.90868170	1.31754400
-1.90834836	1.31754400
-1.90801503	1.31754400
-1.90768169	1.31754400
-1.90734835	1.31754400
-1.90701502	1.31754400
-1.90668168	1.31754400
-1.90634835	1.31754400
-1.90601501	1.31754400
-1.90568167	1.31754400
-1.90534834	1.31754400
-1.90501500	1.31754400
-1.90468167	1.31754400
-1.90434833	1.31754400
-1.90401500	1.31754400
-1.90368166	1.31754400
-1.90334832	1.31754400
-1.90301499	1.31754400
-1.90268165	1.31754400
-1.90234832	1.31754400
-1.90201498	1.31754400
-1.90168164	1.31754400
-1.90134831	1.31754400
-1.90101497	1.31754400
-1.90068164	1.31754400
-1.90034830	1.31754400
-1.90001496	1.31754400
-1.89968163	1.31754400
-1.89934829	1.31754400
-1.89901496	1.31754400
-1.89868162	1.31754400
-1.89834828	1.31754400
-1.89801495	1.31754400
-1.89768161	1.31754400
-1.89734828	1.31754400
-1.89701494	1.31754400
-1.89668160	1.31754400
-1.89634827	1.31754400
-1.89601493	1.31754400
-1.89568160	1.31754400
-1.89534826	1.31754400
-1.89501492	1.31754400
-1.89468159	1.31754400
-1.89434825	1.31754400
-1.89401492	1.31754400
